d, p, o, states, total_time, res
3, 1, 1, 27, 0.11743771682679653, 0.6666666667
4, 1, 1, 49, 0.15053419718146321, 0.375
4, 1, 2, 58, 0.22671785973012448, 0.75
4, 2, 1, 66, 0.22326758679747583, 0.75
5, 1, 1, 75, 0.4291850742697716, 0.2666666667
5, 1, 2, 131, 0.3240527466535568, 0.4
5, 1, 3, 179, 0.7754459417760372, 0.8
5, 2, 1, 141, 0.3495440189242363, 0.5333333333
5, 2, 2, 177, 0.43741873443126683, 0.8
5, 3, 1, 131, 0.3820430238544941, 0.8
6, 1, 1, 107, 0.2860457445979118, 0.2083333333
6, 1, 2, 242, 0.47047162944078447, 0.2777777778
6, 1, 3, 522, 1.2782265013754368, 0.4166666667
6, 1, 4, 802, 4.262498308748007, 0.8333333333
6, 2, 1, 253, 0.6076705799102783, 0.4166666667
6, 2, 2, 443, 0.9492690262794495, 0.5555555556
6, 2, 3, 653, 1.7926725015044211, 0.8333333333
6, 3, 1, 323, 0.8686394013166427, 0.625
6, 3, 2, 413, 1.2042344159781933, 0.8333333333
6, 4, 1, 228, 0.8574268064796924, 0.8333333333
7, 1, 1, 145, 0.47236370468139643, 0.1714285714
7, 1, 2, 409, 1.0750079270303248, 0.2142857143
7, 1, 3, 1219, 2.9016948918700214, 0.2857142857
7, 1, 4, 2899, 13.310627023577691, 0.4285714286
7, 1, 5, 4669, 73.04393511143327, 0.8571428571
7, 2, 1, 414, 1.4194320092499257, 0.3428571429
7, 2, 2, 924, 1.5843862429857254, 0.4285714286
7, 2, 3, 2064, 3.842773567855358, 0.5714285714
7, 2, 4, 3444, 14.017578762918712, 0.8571428571
7, 3, 1, 663, 2.1458057393729684, 0.5142857143
7, 3, 2, 1143, 2.5787650878131387, 0.6428571429
7, 3, 3, 1743, 4.683981608986855, 0.8571428571
7, 4, 1, 638, 2.4098549373447895, 0.6857142857
7, 4, 2, 818, 2.5065152469277385, 0.8571428571
7, 5, 1, 363, 1.3902192091345789, 0.8571428571
8, 1, 1, 189, 0.4933934545516968, 0.1458333333
8, 1, 2, 644, 1.0250073362588883, 0.175
8, 1, 3, 2492, 5.392950937032699, 0.21875
8, 1, 4, 8162, 54.75836949768662, 0.2916666667
8, 1, 5, 19922, 641.3325771432519, 0.4375
8, 2, 1, 633, 1.8380502309203148, 0.2916666667
8, 2, 2, 1746, 2.6264687598645686, 0.35
8, 2, 3, 5316, 8.913998528718949, 0.4375
8, 2, 4, 13296, 85.02458201014996, 0.5833333333
8, 2, 5, 23271, 709.2446868529917, 0.875
8, 3, 1, 1221, 5.23513014498353, 0.4375
8, 3, 2, 2656, 5.697549003571272, 0.525
8, 3, 3, 6016, 12.074856351554395, 0.65625
8, 3, 4, 10496, 67.00019255316258, 0.875
8, 4, 1, 1473, 6.025500752329826, 0.5833333333
8, 4, 2, 2488, 7.3520219596028324, 0.7
8, 4, 3, 3853, 12.928158759474755, 0.875
8, 5, 1, 1137, 4.662205299139023, 0.7291666667
8, 5, 2, 1452, 5.540715617984533, 0.875
8, 6, 1, 542, 2.3451872620880603, 0.875
9, 1, 1, 239, 0.7840779095590115, 0.126984127
9, 1, 2, 959, 2.611470395982266, 0.1481481481
9, 1, 3, 4599, 10.863851343363523, 0.1777777778
9, 2, 1, 919, 2.88982590124011, 0.253968254
9, 2, 2, 3047, 4.345616759955883, 0.2962962963
9, 2, 3, 11951, 21.06521518728137, 0.3555555556
9, 3, 1, 2075, 8.94836059781909, 0.380952381
9, 3, 2, 5547, 12.045834360271693, 0.4444444444
9, 3, 3, 17027, 35.433784263253216, 0.5333333333
9, 4, 1, 3013, 15.530314210742713, 0.5079365079
9, 4, 2, 6373, 20.28014132794738, 0.5925925926
9, 4, 3, 14493, 54.852183085888626, 0.7111111111
9, 5, 1, 2915, 16.168836134135724, 0.6349206349
9, 5, 2, 4819, 19.1963084705472, 0.7407407407
9, 5, 3, 7507, 33.45640696543455, 0.8888888889
9, 6, 1, 1879, 10.030346462398768, 0.7619047619
9, 6, 2, 2383, 11.669493255466223, 0.8888888889
9, 7, 1, 771, 4.520393778026103, 0.8888888889
10, 1, 1, 295, 1.2850000324845314, 0.1125
10, 1, 2, 1366, 2.507574555248022, 0.1285714286
10, 1, 3, 7846, 22.119007951766253, 0.15
10, 2, 1, 1281, 5.593858588427305, 0.225
10, 2, 2, 4989, 10.474847165375948, 0.2571428571
10, 2, 3, 24141, 61.53999294543266, 0.3
10, 3, 1, 3315, 18.271013095945122, 0.3375
10, 3, 2, 10623, 32.24639433825016, 0.3857142857
10, 3, 3, 41871, 160.03239394786954, 0.45
10, 4, 1, 5631, 43.85301140251756, 0.45
10, 4, 2, 14577, 79.63632229155303, 0.5142857143
10, 4, 3, 44817, 289.41208371472356, 0.6
10, 5, 1, 6555, 64.21764548441767, 0.5625
10, 5, 2, 13485, 100.62623319289088, 0.6428571429
10, 5, 3, 30621, 244.38408207055926, 0.75
10, 6, 1, 5295, 49.74922286847234, 0.675
10, 6, 2, 8571, 65.30835242101551, 0.7714285714
10, 6, 3, 13359, 119.40564093002678, 0.9
10, 7, 1, 2931, 23.866300668895246, 0.7875
10, 7, 2, 3687, 26.95790614429116, 0.9
10, 8, 1, 1056, 12.45471476468444, 0.9
