num_of_edges,execution_time_discrete_log_10,execution_time_solver_log_10
4,-0.14997054,3.707736209
5,-0.255727007,3.694190492
6,-0.360037735,3.631885997
7,0.579196168,4.027169145
8,0.562316899,3.666999065
9,0.498751018,3.733078938
10,1.770306548,3.706528457
11,1.7375907,3.670659389
12,1.664228451,3.655801184
13,1.617550252,3.644275839
14,1.583707028,3.63334895
15,1.666283166,3.681835202
16,2.999162384,3.642714828
17,2.913530584,3.655551876
18,2.938337243,3.675480167
19,2.928424232,3.651380232
20,2.898163361,3.633902894
21,2.860435132,3.649182261
22,2.907562226,3.639155279
23,4.331722325,3.620850493
24,4.335586064,3.635484391
25,4.30617305,3.632238818
26,4.33617923,3.650237807
27,4.323779525,3.630092715
28,4.308963482,3.633554094
29,4.304819313,3.616804069
30,4.276636767,3.624996451
31,4.233356223,3.593840854
32,4.252686447,3.62740078
33,4.31255606,3.591444853
34,4.260388427,3.614960003
35,5.714846563,3.626656384
36,5.654782572,3.651575829
37,5.671307285,3.611923173
38,5.711653484,3.598053995
39,5.708078301,3.625855164
40,5.712794544,3.657487165
41,5.727510818,3.606666275
42,5.703105479,3.604350357
43,5.69544907,3.65056932
44,5.714078103,3.617725589
45,5.714686784,3.615807829
46,5.685135258,3.637004587
47,5.707483872,3.623566767
48,7.186676114,3.711319043
49,7.176730397,3.601678423
50,7.146089506,3.633566513
51,7.155612373,3.65232888
52,7.158224147,3.642943014
53,7.16206201,3.623762366
54,7.16256947,3.629417094
55,7.145449841,3.655088241
56,7.150696069,3.612541549
57,7.140930887,3.639786982
58,7.157298675,3.63462221
59,7.13287576,3.625231558
60,7.129318625,3.642261616
61,7.138321769,3.598774388
62,7.134226849,3.614063231
63,7.141909863,3.61457922
64,7.132257246,3.643562476
65,7.132032952,3.622127552
66,7.127435223,3.671113571
67,7.137598765,3.610788535
68,7.129247751,3.61812861
69,7.13255091,3.630709499
70,8.551002944,3.703333079
71,8.531989203,3.700913833
72,8.518865293,3.753641466
73,8.529410123,3.610331795
74,8.508253229,3.613648685
75,8.522957434,3.758936315
76,8.507776095,3.630972937
77,8.520275628,3.627989292
78,8.520431599,3.733625659
79,8.518378236,3.64201607
80,8.514456429,3.736687072
81,8.522586843,3.683809457
82,8.509904335,3.617756637
83,8.50984917,3.637326301
84,8.517161886,3.738820543
85,8.528035931,3.730194447
86,8.543747981,3.666837897
87,8.521727869,3.708104954
88,8.510959511,3.635744641
89,8.51736052,3.834665102
90,8.523621191,3.857475228
91,8.519990156,3.723868711
92,8.516421905,3.695573251
93,8.514359071,3.716458304
94,8.51479996,3.683457532
95,8.51093362,3.688035765
96,8.506638782,3.749943038
97,8.525898627,3.747211804
98,9.927357324,3.742553467
99,9.914777894,4.084426316
