num_of_edges,memory_discrete,memory_solver
4,-4.307747197,-6.07873397
5,-4.404577175,-7.460473776
6,-4.40605571,-7.488259565
7,-2.389990502,-5.01542082
8,-2.389674154,-5.015612488
9,-2.389213686,-5.014156731
10,-0.888336203,-5.014592278
11,-0.888973829,-5.015612488
12,-0.888866808,-5.014759847
13,-0.888755469,-5.015612488
14,-0.888640895,-5.012655308
15,-0.888411634,-5.015229189
16,0.488706415,-5.015612488
17,0.488734494,-5.015612488
18,0.488785777,-5.015229189
19,0.488793908,-4.945744631
20,0.488844933,-4.990970604
21,0.488873009,-4.944802164
22,0.488907986,-5.015612488
23,1.873481766,-4.99069946
24,1.873472831,-4.894445527
25,1.87348075,-4.915241541
26,1.873485979,-4.96224012
27,1.873502789,-4.886559201
28,1.873507125,-4.960206879
29,1.873532708,-4.88189901
30,1.873549112,-4.985733732
31,1.873568796,-4.877940862
32,1.873592371,-4.874605775
33,1.873613085,-4.872277814
34,1.873703023,-4.610073903
35,3.259783089,-5.009168665
36,3.25978719,-4.710960018
37,3.259797053,-4.803046356
38,3.259819462,-4.523301613
39,3.259820917,-4.670136045
40,3.259826288,-4.641933695
41,3.259828161,-4.685560409
42,3.259832146,-4.608771379
43,3.259835779,-4.702525544
44,3.25983988,-4.507862408
45,3.259841764,-4.694975045
46,3.259846998,-4.541017143
47,3.259851577,-4.714755277
48,4.646457758,-4.605229951
49,4.646458271,-4.827869742
50,4.646458856,-4.546583941
51,4.646459369,-4.817281361
52,4.646459954,-4.691780753
53,4.64646054,-4.826770136
54,4.646461192,-4.577665849
55,4.646461638,-4.768223615
56,4.646462224,-4.647967335
57,4.646462749,-4.778809148
58,4.646463322,-4.554744794
59,4.646463908,-4.740189327
60,4.64646442,-4.621004448
61,4.646465006,-4.759171892
62,4.646465591,-4.535015778
63,4.646465591,-4.718080868
64,4.646466177,-4.601295612
65,4.646466763,-4.733036301
66,4.64646736,-4.491624495
67,4.646467934,-4.6952846
68,4.64646852,-4.607483294
69,4.646469105,-4.685629312
70,6.030849966,-4.770763846
71,6.030850095,-4.797128173
72,6.030850241,-4.824333087
73,6.030850404,-4.63655274
74,6.030850517,-4.718066632
75,6.030850663,-4.774703079
76,6.030850792,-4.80154418
77,6.030850938,-4.614126392
78,6.030851085,-4.639101466
79,6.030851213,-4.817863177
80,6.030851213,-4.804737065
81,6.030851213,-4.699031196
82,6.030851195,-4.788109915
83,6.030851195,-4.714145365
84,6.030851195,-4.380994656
85,6.030851177,-4.528835187
86,6.030851177,-4.620077968
87,6.030851177,-4.491715306
88,6.030851177,-4.577056778
89,6.030851158,-4.520166612
90,6.030851158,-4.450963922
91,6.030851158,-4.574167977
92,6.030851012,-4.458819843
93,6.030851012,-4.472400592
94,6.030851012,-4.569224564
95,6.030851012,-4.349387442
96,6.030851039,-4.490354013
97,6.030851012,-4.463841355
98,7.417656879,-4.593963331
99,7.417656874,-4.585698769
100,7.417656874,-4.577576166
